class,words
ham,"['thats', 'cool', 'am', 'gentleman', 'and', 'will', 'treat', 'you', 'with', 'dignity', 'and', 'respect']"
ham,"['shall', 'start', 'from', 'hear']"
ham,"['then', 'we', 'wait', 'lor', 'no', 'need', 'feel', 'bad', 'lar']"
ham,"['no', 'did', 'you', 'check', 'got', 'his', 'detailed', 'message', 'now']"
ham,"['you', 'have', 'registered', 'sinco', 'as', 'payee', 'log', 'in', 'at', 'icicibankcom', 'and', 'enter', 'urn', 'ltgt', 'to', 'confirm', 'beware', 'of', 'frauds', 'do', 'not', 'share', 'or', 'disclose', 'urn', 'to', 'anyone']"
ham,"['no', 'decided', 'that', 'only', 'people', 'who', 'care', 'about', 'stuff', 'vote', 'and', 'caring', 'about', 'stuff', 'is', 'for', 'losers']"
ham,"['kaiez', 'enjoy', 'ur', 'tuition', 'gee', 'thk', 'second', 'option', 'sounds', 'beta', 'ill', 'go', 'yan', 'jiu', 'den', 'msg']"
ham,"['you', 'have', 'registered', 'sinco', 'as', 'payee', 'log', 'in', 'at', 'icicibankcom', 'and', 'enter', 'urn', 'ltgt', 'to', 'confirm', 'beware', 'of', 'frauds', 'do', 'not', 'share', 'or', 'disclose', 'urn', 'to', 'anyone']"
ham,"['cool', 'we', 'will', 'have', 'fun', 'practicing', 'making', 'babies']"
ham,"['actually', 'getting', 'ready', 'to', 'leave', 'the', 'house']"
ham,"['kkany', 'special', 'today']"
spam,"['urgent', 'important', 'information', 'for', 'user', 'today', 'is', 'your', 'lucky', 'day', 'find', 'out', 'why', 'log', 'onto', 'httpwwwurawinnercom', 'there', 'is', 'fantastic', 'surprise', 'awaiting', 'for', 'you']"
ham,"['then', 'we', 'gotta', 'do', 'it', 'after', 'that']"
ham,"['ive', 'got', 'ten', 'bucks', 'jay', 'is', 'being', 'noncomittal']"
ham,"['where', 'at', 'were', 'hungry', 'too']"
ham,"['pls', 'speak', 'to', 'that', 'customer', 'machan']"
ham,"['somewhere', 'out', 'there', 'beneath', 'the', 'pale', 'moon', 'light', 'someone', 'think', 'in', 'of', 'some', 'where', 'out', 'there', 'where', 'dreams', 'come', 'true', 'goodnite', 'amp', 'sweet', 'dreams']"
ham,"['wen', 'ur', 'lovable', 'bcums', 'angry', 'wid', 'dnt', 'take', 'it', 'seriously', 'coz', 'being', 'angry', 'is', 'most', 'childish', 'true', 'way', 'of', 'showing', 'deep', 'affection', 'care', 'luv', 'kettoda', 'manda', 'have', 'nice', 'day', 'da']"
spam,"['dear', 'uve', 'been', 'invited', 'to', 'xchat', 'this', 'is', 'our', 'final', 'attempt', 'to', 'contact', 'txt', 'chat', 'to', 'pmsgrcvdhgsuitelandsrowwjhl', 'ldn', 'yrs']"
ham,"['so', 'wats', 'ur', 'opinion', 'abt', 'him', 'and', 'how', 'abt', 'is', 'character']"
ham,"['jay', 'is', 'snickering', 'and', 'tells', 'me', 'that', 'is', 'totally', 'fucking', 'up', 'the', 'chords', 'as', 'we', 'speak']"
ham,"['nofew', 'hours', 'beforewent', 'to', 'hair', 'cut']"
ham,"['no', 'wonder', 'cos', 'dun', 'rem', 'seeing', 'silver', 'car', 'but', 'thk', 'saw', 'black', 'one']"
ham,"['lmao', 'take', 'pic', 'and', 'send', 'it', 'to', 'me']"
ham,"['speak', 'only', 'when', 'you', 'feel', 'your', 'words', 'are', 'better', 'than', 'the', 'silence', 'gud', 'mrng']"
ham,"['no', 'shes', 'currently', 'in', 'scotland', 'for', 'that']"
ham,"['do', 'you', 'work', 'all', 'this', 'week']"
spam,"['congratulations', 'ur', 'awarded', 'either', 'of', 'cd', 'gift', 'vouchers', 'free', 'entry', 'our', 'weekly', 'draw', 'txt', 'music', 'to', 'tncs', 'wwwldewcom', 'winppmxage']"
ham,"['lol', 'great', 'now', 'im', 'getting', 'hungry']"
ham,"['yes', 'now', 'only', 'saw', 'your', 'message']"
ham,"['ill', 'be', 'at', 'mu', 'in', 'like', 'ltgt', 'seconds']"
ham,['ok']
ham,"['thing', 'good', 'thanx', 'got', 'exams', 'in', 'march', 'ive', 'done', 'no', 'revision', 'is', 'fran', 'still', 'with', 'boyf', 'ive', 'gotta', 'interviw', 'exeter', 'bit', 'worriedx']"
ham,"['tell', 'you', 'what', 'if', 'you', 'make', 'little', 'spreadsheet', 'and', 'track', 'whose', 'idea', 'it', 'was', 'to', 'smoke', 'to', 'determine', 'who', 'smokes', 'too', 'much', 'for', 'the', 'entire', 'month', 'of', 'february', 'ill', 'come', 'up']"
spam,"['for', 'sale', 'arsenal', 'dartboard', 'good', 'condition', 'but', 'no', 'doubles', 'or', 'trebles']"
ham,"['dont', 'look', 'back', 'at', 'the', 'building', 'because', 'you', 'have', 'no', 'coat', 'and', 'dont', 'want', 'you', 'to', 'get', 'more', 'sick', 'just', 'hurry', 'home', 'and', 'wear', 'coat', 'to', 'the', 'gym']"
ham,"['my', 'painful', 'personal', 'thought', 'always', 'try', 'to', 'keep', 'everybody', 'happy', 'all', 'the', 'time', 'but', 'nobody', 'recognises', 'me', 'when', 'am', 'alone']"
ham,"['thanks', 'for', 've', 'lovely', 'wisheds', 'you', 'rock']"
ham,"['you', 'intrepid', 'duo', 'you', 'have', 'great', 'time', 'and', 'see', 'you', 'both', 'soon']"
ham,"['asked', 'sen', 'to', 'come', 'chennai', 'and', 'search', 'for', 'job']"
ham,"['dad', 'went', 'out', 'oredi']"
ham,"['jus', 'hope', 'its', 'true', 'that', 'missin', 'me', 'cos', 'im', 'really', 'missin', 'him', 'you', 'havent', 'done', 'anything', 'to', 'feel', 'guilty', 'about', 'yet']"
ham,"['wat', 'so', 'late', 'still', 'early', 'mah', 'or', 'we', 'juz', 'go', 'dinner', 'lor', 'aiya', 'dunno']"
ham,"['arms', 'fine', 'hows', 'cardiff', 'and', 'uni']"
ham,"['in', 'fact', 'when', 'do', 'you', 'leave', 'think', 'addie', 'goes', 'back', 'to', 'school', 'tues', 'or', 'wed']"
ham,"['cool', 'breeze', 'bright', 'sun', 'fresh', 'flower', 'twittering', 'birds', 'all', 'these', 'waiting', 'to', 'wish', 'goodmorning', 'amp', 'have', 'nice', 'day']"
ham,"['yagoing', 'for', 'restaurant']"
ham,"['its', 'ok', 'just', 'askd', 'did', 'knw', 'tht', 'no']"
spam,"['free', 'st', 'week', 'entry', 'textpod', 'chance', 'win', 'gb', 'ipod', 'or', 'cash', 'every', 'wk', 'txt', 'pod', 'to', 'tscs', 'wwwtextpodnet', 'custcare']"
ham,"['those', 'ducking', 'chinchillas']"
ham,"['am', 'in', 'marriage', 'function']"
ham,"['looks', 'like', 'wil', 'getting', 'headstart', 'im', 'leaving', 'here', 'bout', 'ish', 'but', 'if', 'desperate', 'for', 'my', 'company', 'could', 'head', 'in', 'earlierwe', 'were', 'goin', 'to', 'meet', 'in', 'rummer']"
ham,"['don', 'give', 'flying', 'monkeys', 'wot', 'they', 'think', 'and', 'certainly', 'don', 'mind', 'any', 'friend', 'of', 'mine', 'and', 'all', 'that']"
spam,"['as', 'registered', 'optin', 'subscriber', 'ur', 'draw', 'gift', 'voucher', 'will', 'be', 'entered', 'on', 'receipt', 'of', 'correct', 'ans', 'to', 'whats', 'no', 'in', 'the', 'bbc', 'charts']"
ham,"['say', 'thanks']"
ham,"['msg', 'me', 'when', 'rajini', 'comes']"
ham,"['ya', 'when', 'are', 'taking', 'ure', 'practical', 'lessons', 'start', 'in', 'june']"
ham,"['thats', 'good', 'because', 'need', 'drugs']"
ham,"['stupidits', 'not', 'possible']"
ham,"['can', 'all', 'decide', 'faster', 'cos', 'my', 'sis', 'going', 'home', 'liao']"
spam,"['summers', 'finally', 'here', 'fancy', 'chat', 'or', 'flirt', 'with', 'sexy', 'singles', 'in', 'yr', 'area', 'to', 'get', 'matched', 'up', 'just', 'reply', 'summer', 'now', 'free', 'join', 'optout', 'txt', 'stop', 'help']"
ham,"['sleeping', 'now', 'or', 'you', 'going', 'to', 'take', 'haha', 'got', 'spys', 'wat', 'me', 'online', 'checking', 'replying', 'mails', 'lor']"
spam,"['claire', 'here', 'am', 'havin', 'borin', 'time', 'am', 'now', 'alone', 'wanna', 'cum', 'over', 'nite', 'chat', 'now', 'hope', 'luv', 'claire', 'xx', 'calls', 'minmoremobsemspoboxpowa']"
ham,"['fighting', 'with', 'the', 'world', 'is', 'easy', 'either', 'win', 'or', 'lose', 'bt', 'fightng', 'with', 'some', 'who', 'is', 'close', 'to', 'is', 'dificult', 'if', 'lose', 'lose', 'if', 'win', 'still', 'lose']"
spam,"['bought', 'one', 'ringtone', 'and', 'now', 'getting', 'texts', 'costing', 'pound', 'offering', 'more', 'tones', 'etc']"
ham,"['yalru', 'lyfu', 'astne', 'chikku', 'bt', 'innu', 'mundhe', 'lyf', 'ali', 'halla', 'ke', 'bilo', 'marriageprogram', 'edhae', 'so', 'lyf', 'is', 'nt', 'yet', 'ovr', 'chikkuali', 'vargu', 'lyfu', 'meow', 'meowd']"
ham,"['kinda', 'first', 'one', 'gets', 'in', 'at', 'twelve', 'aah', 'speak', 'tomo']"
spam,"['urgent', 'your', 'mobile', 'no', 'xxxxxxxxx', 'won', 'bonus', 'caller', 'prize', 'on', 'this', 'is', 'the', 'nd', 'attempt', 'to', 'reach', 'you', 'call', 'asap']"
ham,"['ok', 'good', 'then', 'later', 'come', 'find', 'lucky', 'told', 'to', 'go', 'earlier', 'later', 'pple', 'take', 'finish', 'no', 'more', 'again']"
ham,"['wat', 'makes', 'thk', 'ill', 'fall', 'down', 'but', 'actually', 'thk', 'im', 'quite', 'prone', 'falls', 'lucky', 'my', 'dad', 'at', 'home', 'ask', 'him', 'come', 'fetch', 'me', 'already']"
spam,"['you', 'are', 'guaranteed', 'the', 'latests', 'nokia', 'phone', 'gb', 'ipod', 'mp', 'player', 'or', 'prize', 'txt', 'wordcollect', 'to', 'no', 'tcllc', 'nyusa', 'pmt', 'msgrcvd']"
ham,"['your', 'account', 'has', 'been', 'refilled', 'successfully', 'by', 'inr', 'ltdecimalgt', 'your', 'keralacircle', 'prepaid', 'account', 'balance', 'is', 'rs', 'ltdecimalgt', 'your', 'transaction', 'id', 'is', 'kr', 'ltgt']"
ham,"['wont', 'touch', 'you', 'with', 'out', 'your', 'permission']"
spam,"['hi', 'its', 'lucy', 'hubby', 'at', 'meetins', 'all', 'day', 'fri', 'will', 'alone', 'at', 'hotel', 'fancy', 'cumin', 'over', 'pls', 'leave', 'msg', 'day', 'lucy', 'calls', 'minmobsmorelkpoboxhpfl']"
ham,"['wonders', 'in', 'my', 'world', 'th', 'you', 'th', 'ur', 'style', 'th', 'ur', 'smile', 'th', 'ur', 'personality', 'rd', 'ur', 'nature', 'nd', 'ur', 'sms', 'and', 'st', 'ur', 'lovely', 'friendship', 'good', 'morning', 'dear']"
ham,"['take', 'some', 'small', 'dose', 'tablet', 'for', 'fever']"
ham,"['oh', 'must', 'have', 'taken', 'your', 'real', 'valentine', 'out', 'shopping', 'first']"
ham,"['just', 'sent', 'you', 'an', 'email', 'to', 'an', 'address', 'with', 'incomm', 'in', 'it', 'is', 'that', 'right']"
ham,"['will', 'do', 'you', 'gonna', 'be', 'at', 'blakes', 'all', 'night', 'might', 'be', 'able', 'to', 'get', 'out', 'of', 'here', 'little', 'early']"
ham,"['friendship', 'is', 'not', 'game', 'to', 'play', 'it', 'is', 'not', 'word', 'to', 'say', 'it', 'doesn', 'start', 'on', 'march', 'and', 'ends', 'on', 'may', 'it', 'is', 'tomorrow', 'yesterday', 'today', 'and']"
ham,"['nice', 'waitshould', 'you', 'be', 'texting', 'right', 'now', 'im', 'not', 'gonna', 'pay', 'your', 'ticket', 'ya', 'know']"
ham,"['im', 'watching', 'lotr', 'my', 'sis', 'dis', 'aft', 'so', 'wan', 'meet', 'me', 'dinner', 'at', 'nite', 'not']"
ham,"['why', 'you', 'keeping', 'me', 'away', 'like', 'this']"
ham,"['think', 'its', 'far', 'more', 'than', 'that', 'but', 'find', 'out', 'check', 'google', 'maps', 'for', 'place', 'from', 'your', 'dorm']"
ham,"['my', 'trip', 'was', 'ok', 'but', 'quite', 'tiring', 'lor', 'uni', 'starts', 'today', 'but', 'its', 'ok', 'me', 'cos', 'im', 'not', 'taking', 'any', 'modules', 'but', 'jus', 'concentrating', 'on', 'my', 'final', 'yr', 'project']"
ham,"['have', 'you', 'always', 'been', 'saying', 'welp']"
ham,"['im', 'guy', 'browsin', 'is', 'compulsory']"
ham,['ok']
ham,"['purity', 'of', 'friendship', 'between', 'two', 'is', 'not', 'about', 'smiling', 'after', 'reading', 'the', 'forwarded', 'messageits', 'about', 'smiling', 'just', 'by', 'seeing', 'the', 'name', 'gud', 'evng', 'musthu']"
ham,"['sorry', 'ill', 'call', 'later']"
ham,"['should', 'add', 'that', 'dont', 'really', 'care', 'and', 'if', 'you', 'cant', 'can', 'at', 'least', 'get', 'this', 'dude', 'to', 'fuck', 'off', 'but', 'hey', 'your', 'money', 'if', 'you', 'want', 'it']"
ham,"['hello', 'lover', 'how', 'goes', 'that', 'new', 'job', 'are', 'you', 'there', 'now', 'are', 'you', 'happy', 'do', 'you', 'think', 'of', 'me', 'wake', 'my', 'slave', 'and', 'send', 'you', 'teasing', 'kiss', 'from', 'across', 'the', 'sea']"
ham,"['told', 'your', 'number', 'to', 'gautham']"
ham,"['tell', 'them', 'no', 'need', 'to', 'investigate', 'about', 'me', 'anywhere']"
ham,"['ok', 'juz', 'receive']"
ham,"['cant', 'believe', 'said', 'so', 'many', 'things', 'to', 'you', 'this', 'morning', 'when', 'all', 'really', 'wanted', 'to', 'say', 'was', 'good', 'morning', 'love', 'you', 'have', 'beautiful', 'morning', 'see', 'you', 'in', 'the', 'library', 'later']"
spam,"['your', 'account', 'has', 'been', 'credited', 'with', 'free', 'text', 'messages', 'to', 'activate', 'just', 'txt', 'the', 'word', 'credit', 'to', 'no', 'tcs', 'wwwbiz']"
ham,"['in', 'the', 'end', 'she', 'might', 'still', 'vomit', 'but', 'its', 'okay', 'not', 'everything', 'will', 'come', 'out']"
ham,"['how', 'are', 'you', 'with', 'moneyas', 'in', 'to', 'youmoney', 'aint', 'thinghow', 'are', 'you', 'sha']"
ham,"['it', 'has', 'everything', 'to', 'do', 'with', 'the', 'weather', 'keep', 'extra', 'warm', 'its', 'cold', 'but', 'nothing', 'serious', 'pls', 'lots', 'of', 'vitamin']"
ham,"['hey', 'gals', 'anyone', 'of', 'going', 'down', 'to', 'driving', 'centre', 'tmr']"
ham,"['im', 'always', 'on', 'yahoo', 'messenger', 'now', 'just', 'send', 'the', 'message', 'to', 'me', 'and', 'ill', 'get', 'it', 'you', 'may', 'have', 'to', 'send', 'it', 'in', 'the', 'mobile', 'mode', 'sha', 'but', 'ill', 'get', 'it', 'and', 'will', 'reply']"
ham,"['im', 'putting', 'it', 'on', 'now', 'it', 'should', 'be', 'ready', 'for', 'lttimegt']"
ham,"['time', 'smile', 'the', 'two', 'crucial', 'things', 'in', 'our', 'life', 'sometimes', 'time', 'makes', 'us', 'to', 'forget', 'smile', 'and', 'sometimes', 'someones', 'smile', 'makes', 'us', 'to', 'forget', 'time', 'gud', 'noon']"
spam,"['sms', 'ac', 'jsco', 'energy', 'is', 'high', 'but', 'may', 'not', 'know', 'where', 'channel', 'it', 'day', 'ur', 'leadership', 'skills', 'strong', 'psychic', 'reply', 'ans', 'wquestion', 'end', 'reply', 'end', 'jsco']"
ham,"['hostbased', 'idps', 'for', 'linux', 'systems']"
spam,"['hot', 'live', 'fantasies', 'call', 'now', 'just', 'per', 'min', 'ntt', 'ltd', 'po', 'box', 'croydon', 'cr', 'wb', 'is', 'national', 'rate', 'call']"
ham,"['don', 'no', 'dawhats', 'you', 'plan']"
ham,"['ill', 'be', 'there', 'on', 'ltgt', 'ok']"
ham,"['oh', 'my', 'god', 'im', 'almost', 'home']"
ham,"['total', 'video', 'converter', 'free', 'download', 'type', 'this', 'in', 'google', 'search']"
spam,"['thanks', 'for', 'the', 'vote', 'now', 'sing', 'along', 'with', 'the', 'stars', 'with', 'karaoke', 'on', 'your', 'mobile', 'for', 'free', 'link', 'just', 'reply', 'with', 'sing', 'now']"
ham,"['wen', 'ur', 'lovable', 'bcums', 'angry', 'wid', 'dnt', 'take', 'it', 'seriously', 'coz', 'being', 'angry', 'is', 'most', 'childish', 'true', 'way', 'of', 'showing', 'deep', 'affection', 'care', 'luv', 'kettoda', 'manda', 'have', 'nice', 'day', 'da']"
ham,"['sounds', 'like', 'something', 'that', 'someone', 'testing', 'me', 'would', 'sayy']"
ham,"['when', 'love', 'someone', 'dont', 'make', 'them', 'to', 'love', 'as', 'much', 'as', 'do', 'but', 'love', 'them', 'so', 'much', 'that', 'they', 'dont', 'want', 'to', 'be', 'loved', 'by', 'anyone', 'except', 'you', 'gud', 'nit']"
ham,"['peteis', 'this', 'your', 'phone', 'still', 'its', 'jenny', 'from', 'college', 'and', 'leannewhat', 'are', 'you', 'up', 'to', 'now']"
ham,"['oops', 'sorry', 'just', 'to', 'check', 'that', 'you', 'dont', 'mind', 'picking', 'me', 'up', 'tomo', 'at', 'half', 'eight', 'from', 'station', 'would', 'that', 'be', 'ok']"
ham,"['hey', 'sweet', 'was', 'wondering', 'when', 'you', 'had', 'moment', 'if', 'you', 'might', 'come', 'to', 'me', 'want', 'to', 'send', 'file', 'to', 'someone', 'but', 'it', 'wont', 'go', 'over', 'yahoo', 'for', 'them', 'because', 'their', 'connection', 'sucks', 'remember', 'when', 'you', 'set', 'up', 'that', 'page', 'for', 'me', 'to', 'go', 'to', 'and', 'download', 'the', 'format', 'disc', 'could', 'you', 'tell', 'me', 'how', 'to', 'do', 'that', 'or', 'do', 'you', 'know', 'some', 'other', 'way', 'to', 'download', 'big', 'files', 'because', 'they', 'can', 'download', 'stuff', 'directly', 'from', 'the', 'internet', 'any', 'help', 'would', 'be', 'great', 'my', 'prey', 'teasing', 'kiss']"
ham,"['hows', 'the', 'champ', 'just', 'leaving', 'glasgow']"
ham,"['kall', 'the', 'bestcongrats']"
ham,"['wonder', 'if', 'youll', 'get', 'this', 'text']"
ham,"['need', 'to', 'come', 'home', 'and', 'give', 'you', 'some', 'good', 'lovin']"
spam,"['our', 'brand', 'new', 'mobile', 'music', 'service', 'is', 'now', 'live', 'the', 'free', 'music', 'player', 'will', 'arrive', 'shortly', 'just', 'install', 'on', 'your', 'phone', 'to', 'browse', 'content', 'from', 'the', 'top', 'artists']"
ham,"['shall', 'ask', 'one', 'thing', 'if', 'you', 'dont', 'mistake', 'me']"
ham,"['check', 'wid', 'corect', 'speling', 'ie', 'sarcasm']"
spam,"['urgent', 'your', 'mobile', 'no', 'was', 'awarded', 'bonus', 'caller', 'prize', 'on', 'this', 'is', 'our', 'nd', 'attempt', 'to', 'contact', 'you', 'call', 'boxqu', 'bt', 'national', 'rate']"
ham,"['are', 'you', 'angry', 'with', 'me', 'what', 'happen', 'dear']"
ham,"['thk', 'dun', 'haf', 'hint', 'in', 'forum', 'already', 'lor', 'cos', 'told', 'ron', 'darren', 'is', 'going', 'tell', 'shuhui']"
ham,"['yup', 'ok', 'thanx']"
ham,"['hicts', 'employee', 'how', 'are', 'you']"
ham,"['pls', 'pls', 'find', 'out', 'from', 'aunt', 'nike']"
ham,"['wow', 'love', 'you', 'sooo', 'much', 'you', 'know', 'can', 'barely', 'stand', 'it', 'wonder', 'how', 'your', 'day', 'goes', 'and', 'if', 'you', 'are', 'well', 'my', 'love', 'think', 'of', 'you', 'and', 'miss', 'you']"
ham,"['no', 'screaming', 'means', 'shouting']"
ham,"['hey', 'what', 'happen', 'de', 'are', 'you', 'alright']"
ham,"['should', 'have', 'picked', 'up', 'receipt', 'or', 'something', 'earlier']"
ham,"['think', 'chennai', 'well', 'settled']"
ham,"['oh', 'dang', 'didnt', 'mean', 'send', 'that', 'to', 'you', 'lol']"
ham,"['unfortunately', 'ive', 'just', 'found', 'out', 'that', 'we', 'have', 'to', 'pick', 'my', 'sister', 'up', 'from', 'the', 'airport', 'that', 'evening', 'so', 'dont', 'think', 'ill', 'be', 'going', 'out', 'at', 'all', 'we', 'should', 'try', 'to', 'go', 'out', 'one', 'of', 'th']"
ham,"['horrible', 'bf', 'now', 'hungry']"
ham,"['remember', 'on', 'that', 'day']"
spam,"['you', 'have', 'won', 'nokia', 'this', 'is', 'what', 'you', 'get', 'when', 'you', 'win', 'our', 'free', 'auction', 'to', 'take', 'part', 'send', 'nokia', 'to', 'now', 'hgsuitelands', 'rowwjhl']"
ham,"['hows', 'it', 'feel', 'mr', 'your', 'not', 'my', 'real', 'valentine', 'just', 'my', 'yo', 'valentine', 'even', 'tho', 'hardly', 'play']"
ham,"['all', 'sounds', 'good', 'fingers', 'makes', 'it', 'difficult', 'to', 'type']"
ham,"['midnight', 'at', 'the', 'earliest']"
ham,"['youre', 'not', 'sure', 'that', 'im', 'not', 'trying', 'to', 'make', 'xavier', 'smoke', 'because', 'dont', 'want', 'to', 'smoke', 'after', 'being', 'told', 'smoke', 'too', 'much']"
ham,"['come', 'to', 'nordstrom', 'when', 'youre', 'done']"
ham,"['do', 'konw', 'waht', 'is', 'rael', 'friendship', 'im', 'gving', 'yuo', 'an', 'exmpel', 'jsut', 'ese', 'tihs', 'msg', 'evrey', 'splleing', 'of', 'tihs', 'msg', 'is', 'wrnog', 'bt', 'sitll', 'yuo', 'can', 'raed', 'it', 'wihtuot', 'ayn', 'mitsake', 'goodnight', 'amp', 'have', 'nice', 'sleepsweet', 'dreams']"
ham,"['now', 'press', 'conference', 'da']"
spam,"['hello', 'from', 'orange', 'for', 'months', 'free', 'access', 'to', 'games', 'news', 'and', 'sport', 'plus', 'free', 'texts', 'and', 'photo', 'messages', 'reply', 'yes', 'terms', 'apply', 'wwworangecoukow']"
ham,"['after', 'completed', 'degree', 'there', 'is', 'no', 'use', 'in', 'joining', 'finance']"
ham,"['good', 'afternoon', 'my', 'love', 'any', 'job', 'prospects', 'are', 'you', 'missing', 'me', 'what', 'do', 'you', 'do', 'are', 'you', 'being', 'lazy', 'and', 'bleak', 'hmmm', 'or', 'happy', 'and', 'filled', 'with', 'my', 'love']"
ham,"['shant', 'disturb', 'anymore', 'jia', 'you']"
ham,"['bishan', 'lar', 'nearer', 'no', 'need', 'buy', 'so', 'early', 'cos', 'if', 'buy', 'now', 'gotta', 'park', 'my', 'car']"
ham,"['me', 'dont', 'know', 'again', 'oh']"
ham,"['dude', 'sux', 'for', 'snake', 'he', 'got', 'old', 'and', 'raiden', 'got', 'buff']"
ham,"['he', 'says', 'hi', 'and', 'to', 'get', 'your', 'ass', 'back', 'to', 'south', 'tampa', 'preferably', 'at', 'kegger']"
ham,"['in', 'msg', 'jus', 'now', 'said', 'thanks', 'for', 'gift']"
ham,['too']
ham,"['ok', 'how', 'you', 'dear', 'did', 'you', 'call', 'chechi']"
ham,"['yeah', 'we', 'do', 'totes', 'when', 'wanna']"
ham,"['ok', 'found', 'dis', 'pierre', 'cardin', 'one', 'which', 'looks', 'normal', 'costs', 'its', 'on', 'sale']"
ham,"['good', 'sleep', 'is', 'about', 'rhythm', 'the', 'person', 'has', 'to', 'establish', 'rhythm', 'that', 'the', 'body', 'will', 'learn', 'and', 'use', 'if', 'you', 'want', 'to', 'know', 'more']"
ham,"['wat', 'doing']"
ham,"['message', 'from', 'am', 'at', 'truro', 'hospital', 'on', 'ext', 'you', 'can', 'phone', 'me', 'here', 'as', 'have', 'phone', 'by', 'my', 'side']"
ham,"['single', 'line', 'with', 'big', 'meaning', 'miss', 'anything', 'ur', 'best', 'life', 'but', 'dont', 'miss', 'ur', 'best', 'life', 'for', 'anything', 'gud', 'nyt']"
ham,"['just', 'got', 'some', 'gas', 'money', 'any', 'chance', 'you', 'and', 'the', 'gang', 'want', 'to', 'go', 'on', 'grand', 'nature', 'adventure']"
ham,"['dnt', 'worryuse', 'ice', 'pieces', 'in', 'cloth', 'packalso', 'take', 'tablets']"
ham,"['dude', 'just', 'saw', 'parked', 'car', 'with', 'its', 'sunroof', 'popped', 'up', 'sux']"
ham,"['get', 'ready', 'to', 'put', 'on', 'your', 'excellent', 'sub', 'face']"
ham,"['tmrw', 'im', 'finishing', 'doors']"
ham,"['the', 'ltgt', 'that', 'saw', 'few', 'days', 'ago', 'the', 'guy', 'wants', 'sell', 'wifi', 'only', 'for', 'ltgt', 'and', 'with', 'for', 'ltgt', 'thats', 'why', 'blanked', 'him']"
ham,"['am', 'late', 'will', 'be', 'there', 'at']"
ham,"['whatever', 'im', 'pretty', 'pissed', 'off']"
ham,"['today', 'is', 'accept', 'dayu', 'accept', 'me', 'as', 'brother', 'sister', 'lover', 'dear', 'best', 'clos', 'lvblefrnd', 'jstfrnd', 'cutefrnd', 'lifpartnr', 'belovd', 'swtheart', 'bstfrnd', 'no', 'rply', 'means', 'enemy']"
ham,"['dont', 'have', 'that', 'much', 'image', 'in', 'class']"
ham,"['noi', 'got', 'rumour', 'that', 'you', 'going', 'to', 'buy', 'apartment', 'in', 'chennai']"
ham,"['near', 'kalainar', 'tv', 'officethenampet']"
spam,"['ur', 'cashbalance', 'is', 'currently', 'pounds', 'to', 'maximize', 'ur', 'cashin', 'now', 'send', 'go', 'to', 'only', 'pmsg', 'cc', 'hgsuitelands', 'rowwjhl']"
spam,"['sms', 'auction', 'brand', 'new', 'nokia', 'is', 'up', 'auction', 'today', 'auction', 'is', 'free', 'join', 'take', 'part', 'txt', 'nokia', 'to', 'now', 'hgsuitelands', 'rowwjhl']"
ham,"['my', 'sis', 'is', 'catching', 'show', 'in', 'afternoon', 'so', 'im', 'not', 'watching', 'her', 'so', 'wan', 'watch', 'today', 'or', 'tmr', 'lor']"
ham,"['sounds', 'gd', 'haha', 'can', 'wah', 'yan', 'jiu', 'so', 'fast', 'liao']"
ham,"['no', 'to', 'be', 'nosy', 'guess', 'idk', 'am', 'over', 'reacting', 'if', 'im', 'freaked']"
ham,"['remember', 'all', 'those', 'whom', 'hurt', 'during', 'days', 'of', 'satanic', 'imposter', 'in', 'meneed', 'to', 'pay', 'priceso', 'be', 'itmay', 'destiny', 'keep', 'me', 'going', 'and', 'as', 'said', 'pray', 'that', 'get', 'the', 'mind', 'to', 'get', 'over', 'the', 'same']"
ham,"['how', 'to', 'make', 'girl', 'happy', 'its', 'not', 'at', 'all', 'difficult', 'to', 'make', 'girls', 'happy', 'only', 'need', 'to', 'be', 'friend', 'companion', 'lover', 'chef', 'ltgt', 'good', 'listener', 'ltgt', 'organizer', 'ltgt', 'good', 'boyfriend', 'ltgt', 'very', 'clean', 'ltgt', 'sympathetic', 'ltgt', 'athletic', 'ltgt', 'warm', 'ltgt', 'courageous', 'ltgt', 'determined', 'ltgt', 'true', 'ltgt', 'dependable', 'ltgt', 'intelligent', 'ltgt', 'psychologist', 'ltgt', 'pest', 'exterminator', 'ltgt', 'psychiatrist', 'ltgt', 'healer', 'ltgt', 'stylist', 'ltgt', 'driver', 'aaniye', 'pudunga', 'venaam']"
ham,"['why', 'is', 'that', 'princess', 'bet', 'the', 'brothas', 'are', 'all', 'chasing', 'you']"
ham,"['shall', 'book', 'chez', 'jules', 'for', 'half', 'eight', 'if', 'thats', 'ok', 'with', 'you']"
ham,"['hhahhaahahah', 'rofl', 'wtf', 'nig', 'was', 'leonardo', 'in', 'your', 'room', 'or', 'something']"
ham,"['yep', 'at', 'dereks', 'house', 'now', 'see', 'you', 'sunday', 'lt']"
ham,"['its', 'cool', 'let', 'me', 'know', 'before', 'it', 'kicks', 'off', 'around', 'ltgt', 'ill', 'be', 'out', 'and', 'about', 'all', 'day']"
ham,"['sorry', 'ill', 'call', 'later']"
